date,2y_par_yield,5y_par_yield,10y_par_yield,usd_vnd_central,usd_vnd_market,deposit_rate,lending_rate,us_10y_yield,us_2y_yield,dxy_trade_weighted,cpi_vn_index,cpi_yoy_pct,cpi_mom_pct,sbv_refinancing_pct,sbv_discount_pct
1999-06,,,,,,8.56,13.2,5.899545454545454,5.618636363636363,,-0.3557042246,,,,
1999-07,,,,,,9.0,13.2,5.791904761904762,5.5547619047619055,,-0.3557042246,,,,
1999-08,,,,,,8.17,12.0,5.9390909090909085,5.678181818181819,,-0.3557042246,,,,
1999-09,,,,,,4.96,12.0,5.915238095238095,5.661904761904762,,-0.3557042246,,,,
1999-10,,,,,,3.6,12.0,6.112,5.8625,,-0.3557042246,,,,
1999-11,,,,,,4.96,12.0,6.034,5.862,,-0.3557042246,,,,
1999-12,,,,,,3.9,12.0,6.275454545454545,6.104545454545455,,-0.3557042246,,,,
2000-01,,,,,,3.6,10.8,6.661,6.44,,-0.6284949317,,,,
2000-02,,,,,,3.6,10.8,6.519499999999999,6.6105,,-0.6284949317,,,,
2000-03,,,,,,3.6,10.8,6.256521739130435,6.528260869565218,,-0.6284949317,,,,
2000-04,,,,,,3.6,10.8,5.990526315789474,6.403684210526316,,-0.6284949317,,,,
2000-05,,,,,,3.6,10.8,6.440454545454545,6.809545454545455,,-0.6284949317,,,,
2000-06,,,,,,3.54,10.8,6.097272727272728,6.4818181818181815,,-0.6284949317,,,,
2000-07,,,,,,3.54,10.8,6.054,6.339,,-0.6284949317,,,,
2000-08,,,,,,3.54,10.2,5.826086956521739,6.228695652173912,,-0.6284949317,,,,
2000-09,,,,,,3.54,10.2,5.799,6.0815,,-0.6284949317,,,,
2000-10,,,,,,3.72,10.2,5.738571428571428,5.9123809523809525,,-0.6284949317,,,,
2000-11,,,,,,3.72,10.2,5.717142857142857,5.875238095238096,,-0.6284949317,,,,
2000-12,,,,,,4.24,10.2,5.2405,5.351999999999999,,-0.6284949317,,,,
2001-01,,,,,,5.4,10.65,5.160952380952381,4.76,,0.5671733755,,,,
2001-02,,,,,,5.16,10.8,5.098947368421053,4.656842105263158,,0.5671733755,,,,
2001-03,,,,,,5.16,10.5,4.885454545454546,4.342272727272728,,0.5671733755,,,,
2001-04,,,,,,5.4,9.45,5.141,4.234,,0.5671733755,,,,
2001-05,,,,,,4.68,9.6,5.391363636363637,4.26,,0.5671733755,,,,
2001-06,,,,,,4.8,9.0,5.284285714285714,4.08,,0.5671733755,,,,
2001-07,,,,,,4.8,9.0,5.236190476190477,4.038571428571428,,0.5671733755,,,,
2001-08,,,,,,5.4,9.0,4.971304347826087,3.757391304347826,,0.5671733755,,,,
2001-09,,,,,,5.4,9.0,4.731764705882353,3.1188235294117646,,0.5671733755,,,,
2001-10,,,,,,5.9,9.0,4.566818181818181,2.725909090909091,,0.5671733755,,,,
2001-11,,,,,,5.85,8.52,4.6515,2.7824999999999998,,0.5671733755,,,,
2001-12,,,,,,5.7,8.52,5.0875,3.107,,0.5671733755,,,,
2002-01,,,,,,5.85,8.55,5.035714285714286,3.0280952380952377,,3.9665402779,,,,
2002-02,,,,,,5.85,8.5,4.911578947368421,3.015263157894737,,3.9665402779,,,,
2002-03,,,,,,6.0,8.5,5.284000000000001,3.5575,,3.9665402779,,,,
2002-04,,,,,,6.39,8.46,5.210909090909091,3.4227272727272724,,3.9665402779,,,,
2002-05,,,,,,6.39,8.46,5.164545454545455,3.264090909090909,,3.9665402779,,,,
2002-06,,,,,,6.39,9.33,4.9265,2.993,,3.9665402779,,,,
2002-07,,,,,,6.54,9.54,4.653181818181818,2.5568181818181817,,3.9665402779,,,,
2002-08,,,,,,6.78,9.48,4.257272727272727,2.1336363636363633,,3.9665402779,,,,
2002-09,,,,,,6.78,9.48,3.87,2.0044999999999997,,3.9665402779,,,,
2002-10,,,,,,6.78,9.48,3.940909090909091,1.9118181818181819,,3.9665402779,,,,
2002-11,,,,,,6.78,9.48,4.048421052631579,1.923157894736842,,3.9665402779,,,,
2002-12,,,,,,6.84,9.48,4.032380952380952,1.8361904761904764,,3.9665402779,,,,
2003-01,,,,,,6.78,9.48,4.048571428571428,1.7433333333333334,,2.9420200378,,,,
2003-02,,,,,,6.84,9.3,3.9026315789473687,1.6278947368421053,,2.9420200378,,,,
2003-03,,,,,,6.99,9.46,3.8071428571428574,1.5738095238095238,,2.9420200378,,,,
2003-04,,,,,,6.99,9.42,3.958571428571428,1.6223809523809525,,2.9420200378,,,,
2003-05,,,,,,6.99,9.46,3.5690476190476192,1.4152380952380952,,2.9420200378,,,,
2003-06,,,,,,7.14,9.46,3.334285714285714,1.227142857142857,,2.9420200378,,,,
2003-07,,,,,,7.14,9.53,3.975454545454546,1.4740909090909091,,2.9420200378,,,,
2003-08,,,,,,6.56,9.53,4.4452380952380945,1.8642857142857143,,2.9420200378,,,,
2003-09,,,,,,6.12,9.57,4.274285714285715,1.706190476190476,,2.9420200378,,,,
2003-10,,,,,,5.97,9.47,4.290454545454545,1.7477272727272728,,2.9420200378,,,,
2003-11,,,,,,5.97,9.54,4.300000000000001,1.9266666666666667,,2.9420200378,,,,
2003-12,,,,,,5.97,9.54,4.267727272727273,1.9072727272727272,,2.9420200378,,,,
2004-01,,,,,,5.97,9.54,4.1505,1.761,,9.749833392,,,,
2004-02,,,,,,5.97,9.54,4.084210526315789,1.7400000000000002,,9.749833392,,,,
2004-03,,,,,,5.97,9.54,3.826521739130435,1.5778260869565217,,9.749833392,,,,
2004-04,,,,,,5.97,9.54,4.347619047619047,2.070952380952381,,9.749833392,,,,
2004-05,,,,,,5.97,9.54,4.7155000000000005,2.5335,,9.749833392,,,,
2004-06,,,,,,5.97,9.54,4.733809523809524,2.763333333333333,,9.749833392,,,,
2004-07,,,,,,5.97,9.54,4.498095238095239,2.6385714285714283,,9.749833392,,,,
2004-08,,,,,,6.21,9.63,4.281363636363636,2.5081818181818183,,9.749833392,,,,
2004-09,,,,,,6.48,9.87,4.1257142857142854,2.5252380952380955,,9.749833392,,,,
2004-10,,,,,,6.51,10.01,4.0969999999999995,2.5845,,9.749833392,,,,
2004-11,,,,,,,,4.194,2.852,,9.749833392,,,,
2004-12,,,,,,6.54,10.25,4.2309090909090905,3.011818181818182,,9.749833392,,,,
2005-01,,,,,,6.54,10.25,4.221500000000001,3.2225,,8.8358084636,,,,
2005-02,,,,,,6.54,11.1,4.165263157894737,3.3847368421052635,,8.8358084636,,,,
2005-03,,,,,,6.54,11.1,4.497727272727273,3.7268181818181816,,8.8358084636,,,,
2005-04,,,,,,7.2,10.8,4.3409523809523805,3.653809523809524,,8.8358084636,,,,
2005-05,,,,,,7.2,10.8,4.144285714285714,3.643809523809524,,8.8358084636,,,,
2005-06,,,,,,7.2,11.03,3.998181818181818,3.6404545454545456,,8.8358084636,,,,
2005-07,,,,,,7.2,11.03,4.1775,3.871,,8.8358084636,,,,
2005-08,,,,,,7.2,11.03,4.262608695652174,4.044347826086956,,8.8358084636,,,,
2005-09,,,,,,7.53,11.18,4.199047619047619,3.9461904761904765,,8.8358084636,,,,
2005-10,,,,,,7.53,11.18,4.4635,4.271,,8.8358084636,,,,
2005-11,,,,,,7.53,11.4,4.535,4.4165,,8.8358084636,,,,
2005-12,,,,,,7.53,11.4,4.467142857142857,4.404285714285714,,8.8358084636,,,,
2006-01,,,,,,7.53,11.175,4.416,4.3955,100.00000454545456,6.7848108894,,,,
2006-02,,,,,,7.65,11.175,4.568947368421052,4.6684210526315795,100.21117000000001,6.7848108894,,,,
2006-03,,,,,,7.65,11.175,4.7239130434782615,4.73391304347826,100.42808695652174,6.7848108894,,,,
2006-04,,,,,,7.65,11.175,4.990526315789474,4.888947368421053,99.74348,6.7848108894,,,,
2006-05,,,,,,7.53,11.175,5.11,4.968181818181818,97.51177391304348,6.7848108894,,,,
2006-06,,,,,,7.65,11.175,5.106363636363636,5.121818181818182,98.69272272727272,6.7848108894,,,,
2006-07,,,,,,7.65,11.175,5.0875,5.1185,98.4387142857143,6.7848108894,,,,
2006-08,,,,,,7.65,11.175,4.8765217391304345,4.903478260869565,97.7137652173913,6.7848108894,,,,
2006-09,,,,,,7.65,11.175,4.718999999999999,4.769,97.98136190476191,6.7848108894,,,,
2006-10,,,,,,7.65,11.18,4.729047619047619,4.795714285714285,98.31565454545454,6.7848108894,,,,
