date,bar_sell,ring_sell,diff_vnd,diff_pct,year
2020-11-03,56700000,54370000,2330000,4.285451535773404,2020
2020-11-04,56350000,54250000,2100000,3.870967741935484,2020
2020-11-05,56450000,54450000,2000000,3.6730945821854912,2020
2020-11-06,56750000,54750000,2000000,3.65296803652968,2020
2020-11-07,56800000,54800000,2000000,3.64963503649635,2020
2020-11-09,57000000,55050000,1950000,3.5422343324250685,2020
2020-11-10,56350000,54250000,2100000,3.870967741935484,2020
2020-11-11,56430000,54350000,2080000,3.8270469181232754,2020
2020-11-12,56350000,54250000,2100000,3.870967741935484,2020
2020-11-13,56350000,54300000,2050000,3.7753222836095763,2020
2020-11-14,56400000,54400000,2000000,3.6764705882352944,2020
2020-11-16,56400000,54600000,1800000,3.296703296703297,2020
2020-11-17,56300000,54500000,1800000,3.302752293577982,2020
2020-11-18,56300000,54450000,1850000,3.3976124885215793,2020
2020-11-19,56100000,54200000,1900000,3.505535055350553,2020
2020-11-20,56150000,54350000,1800000,3.3118675252989878,2020
2020-11-21,56200000,54350000,1850000,3.403863845446182,2020
2020-11-23,56150000,54300000,1850000,3.4069981583793743,2020
2020-11-25,54800000,53600000,1200000,2.2388059701492535,2020
2020-11-26,55000000,53700000,1300000,2.4208566108007448,2020
2020-11-27,54900000,53550000,1350000,2.5210084033613445,2020
2020-11-28,54550000,53250000,1300000,2.4413145539906105,2020
2020-11-30,53850000,53050000,800000,1.5080113100848256,2020
2020-12-01,54300000,53250000,1050000,1.971830985915493,2020
2020-12-02,55100000,53750000,1350000,2.511627906976744,2020
2020-12-03,55500000,53950000,1550000,2.873030583873957,2020
2020-12-04,55350000,54000000,1350000,2.5,2020
2020-12-05,55250000,53900000,1350000,2.504638218923933,2020
2020-12-07,55200000,53900000,1300000,2.411873840445269,2020
2020-12-08,55600000,54300000,1300000,2.394106813996317,2020
2020-12-09,55300000,54200000,1100000,2.029520295202952,2020
2020-12-10,55050000,54050000,1000000,1.8501387604070305,2020
2020-12-11,55250000,54100000,1150000,2.1256931608133085,2020
2020-12-12,55250000,54150000,1100000,2.0313942751615883,2020
2020-12-14,55100000,54000000,1100000,2.037037037037037,2020
2020-12-15,55250000,54220000,1030000,1.8996680191811137,2020
2020-12-16,55400000,54450000,950000,1.7447199265381086,2020
2020-12-17,55550000,54550000,1000000,1.833180568285976,2020
2020-12-18,55500000,54550000,950000,1.7415215398716772,2020
2020-12-19,55500000,54550000,950000,1.7415215398716772,2020
2020-12-21,55800000,54800000,1000000,1.824817518248175,2020
2020-12-22,55550000,54750000,800000,1.461187214611872,2020
2020-12-23,55600000,54800000,800000,1.4598540145985401,2020
2020-12-24,55800000,54900000,900000,1.639344262295082,2020
2020-12-29,55900000,55150000,750000,1.3599274705349047,2020
2020-12-30,55900000,55200000,700000,1.2681159420289856,2020
2020-12-31,56100000,55450000,650000,1.1722272317403066,2020
2021-01-02,56150000,55450000,700000,1.2623985572587917,2021
2021-01-03,56150000,55450000,700000,1.2623985572587917,2021
2021-01-04,56800000,56050000,750000,1.3380909901873328,2021
2021-01-05,57150000,56250000,900000,1.6,2021
2021-01-06,57300000,56400000,900000,1.5957446808510638,2021
2021-01-07,56800000,55900000,900000,1.6100178890876566,2021
2021-01-08,56350000,55600000,750000,1.3489208633093526,2021
2021-01-11,56450000,55150000,1300000,2.357207615593835,2021
2021-01-12,56650000,55350000,1300000,2.3486901535682025,2021
2021-01-13,56500000,55400000,1100000,1.9855595667870036,2021
2021-01-14,56450000,55250000,1200000,2.171945701357466,2021
2021-01-15,56600000,55350000,1250000,2.2583559168925023,2021
2021-01-16,56400000,55050000,1350000,2.452316076294278,2021
2021-01-18,56450000,55150000,1300000,2.357207615593835,2021
2021-01-19,56400000,55250000,1150000,2.0814479638009047,2021
2021-01-21,56550000,55500000,1050000,1.891891891891892,2021
2021-01-22,56450000,55300000,1150000,2.0795660036166366,2021
2021-01-23,56400000,55250000,1150000,2.0814479638009047,2021
2021-01-25,56550000,55250000,1300000,2.3529411764705883,2021
2021-01-26,56600000,55200000,1400000,2.536231884057971,2021
2021-01-27,56650000,55050000,1600000,2.9064486830154403,2021
2021-01-28,56650000,54900000,1750000,3.1876138433515484,2021
2021-01-29,56750000,54950000,1800000,3.2757051865332123,2021
2021-01-30,56750000,54900000,1850000,3.3697632058287796,2021
2021-02-01,57100000,55100000,2000000,3.6297640653357535,2021
2021-02-02,56850000,54950000,1900000,3.4576888080072794,2021
2021-02-03,56850000,54800000,2050000,3.7408759124087596,2021
2021-02-04,56850000,54550000,2300000,4.216315307057745,2021
2021-02-05,56900000,54450000,2450000,4.499540863177227,2021
2021-02-06,56900000,54550000,2350000,4.307974335472044,2021
2021-02-08,57050000,55050000,2000000,3.633060853769301,2021
2021-02-09,57350000,55550000,1800000,3.2403240324032403,2021
2021-02-17,56900000,54950000,1950000,3.548680618744313,2021
2021-02-18,56500000,54900000,1600000,2.914389799635701,2021
2021-02-19,56300000,54850000,1450000,2.643573381950775,2021
2021-02-20,56350000,54900000,1450000,2.6411657559198543,2021
2021-02-23,56600000,54900000,1700000,3.096539162112933,2021
2021-02-24,56500000,54750000,1750000,3.1963470319634704,2021
2021-02-25,56450000,54450000,2000000,3.6730945821854912,2021
2021-02-26,56350000,54100000,2250000,4.1589648798521255,2021
2021-02-27,56200000,53700000,2500000,4.655493482309125,2021
2021-03-01,56250000,53850000,2400000,4.456824512534819,2021
2021-03-02,56100000,53700000,2400000,4.4692737430167595,2021
2021-03-03,56000000,53750000,2250000,4.186046511627907,2021
2021-03-04,56000000,53400000,2600000,4.868913857677903,2021
2021-03-05,55500000,52950000,2550000,4.815864022662889,2021
2021-03-06,55600000,53000000,2600000,4.905660377358491,2021
2021-03-08,55500000,52700000,2800000,5.313092979127135,2021
2021-03-09,55150000,52400000,2750000,5.248091603053435,2021
2021-03-10,55380000,52300000,3080000,5.8891013384321225,2021
2021-03-11,55800000,52450000,3350000,6.3870352716873215,2021
2021-03-12,55600000,51950000,3650000,7.025986525505294,2021
2021-03-13,55850000,52200000,3650000,6.992337164750957,2021
2021-03-15,55700000,52150000,3550000,6.807286673058485,2021
2021-03-17,55650000,52000000,3650000,7.019230769230769,2021
2021-03-18,55500000,52000000,3500000,6.730769230769231,2021
2021-03-19,55500000,51950000,3550000,6.833493743984601,2021
2021-03-20,55650000,52050000,3600000,6.9164265129683,2021
2021-03-22,55450000,51850000,3600000,6.943105110896817,2021
2021-03-23,55600000,51900000,3700000,7.129094412331407,2021
2021-03-24,55500000,51850000,3650000,7.03953712632594,2021
2021-03-25,55480000,51750000,3730000,7.207729468599034,2021
2021-03-26,55270000,51550000,3720000,7.216294859359845,2021
2021-03-30,54850000,50700000,4150000,8.185404339250493,2021
2021-03-31,54500000,50000000,4500000,9.0,2021
2021-04-01,54900000,50350000,4550000,9.036742800397219,2021
2021-04-02,55350000,50900000,4450000,8.7426326129666,2021
2021-04-03,55420000,50920000,4500000,8.837391987431264,2021
2021-04-05,55100000,50900000,4200000,8.25147347740668,2021
2021-04-06,55250000,51000000,4250000,8.333333333333332,2021
2021-04-07,55250000,51120000,4130000,8.079029733959311,2021
2021-04-08,55250000,51250000,4000000,7.804878048780488,2021
2021-04-09,55430000,51400000,4030000,7.840466926070039,2021
2021-04-12,55250000,51550000,3700000,7.177497575169737,2021
2021-04-13,55200000,51600000,3600000,6.976744186046512,2021
2021-04-14,55300000,51970000,3330000,6.407542813161439,2021
2021-04-15,55300000,52050000,3250000,6.243996157540826,2021
2021-04-16,55450000,52400000,3050000,5.820610687022901,2021
2021-04-17,55620000,53100000,2520000,4.745762711864407,2021
2021-04-18,55620000,53100000,2520000,4.745762711864407,2021
2021-04-19,55980000,53500000,2480000,4.635514018691589,2021
2021-04-20,55830000,53300000,2530000,4.74671669793621,2021
2021-04-22,55830000,53350000,2480000,4.6485473289597,2021
2021-04-23,55750000,53200000,2550000,4.793233082706767,2021
2021-04-24,55600000,53000000,2600000,4.905660377358491,2021
2021-04-26,55500000,52900000,2600000,4.914933837429111,2021
2021-04-27,55650000,52800000,2850000,5.3977272727272725,2021
2021-04-28,55650000,52570000,3080000,5.858854860186418,2021
2021-04-29,55650000,52550000,3100000,5.899143672692674,2021
2021-05-03,55750000,52470000,3280000,6.251191156851534,2021
2021-05-04,55750000,52470000,3280000,6.251191156851534,2021
2021-05-05,55660000,52200000,3460000,6.628352490421456,2021
2021-05-06,55700000,52220000,3480000,6.664113366526235,2021
2021-05-07,55970000,52500000,3470000,6.609523809523809,2021
2021-05-08,56180000,52730000,3450000,6.5427650293950315,2021
2021-05-10,56300000,52950000,3350000,6.326723323890462,2021
2021-05-11,56230000,52850000,3380000,6.395458845789971,2021
2021-05-12,56130000,52620000,3510000,6.670467502850627,2021
2021-05-13,56070000,52350000,3720000,7.106017191977078,2021
2021-05-14,56250000,52650000,3600000,6.837606837606838,2021
2021-05-15,56370000,52770000,3600000,6.822057987492894,2021
2021-05-17,56370000,52970000,3400000,6.418727581649991,2021
2021-05-19,56250000,52950000,3300000,6.232294617563739,2021
2021-05-20,56330000,53030000,3300000,6.222892702244013,2021
2021-05-21,56430000,53200000,3230000,6.071428571428571,2021
2021-05-22,56480000,53200000,3280000,6.165413533834586,2021
2021-05-24,56400000,53450000,2950000,5.519176800748363,2021
2021-05-25,56420000,53450000,2970000,5.556594948550047,2021
2021-05-26,56550000,53600000,2950000,5.503731343283582,2021
2021-05-27,56540000,53600000,2940000,5.485074626865671,2021
2021-05-28,56700000,53650000,3050000,5.684995340167754,2021
2021-05-29,56870000,53780000,3090000,5.745630345853478,2021
2021-05-31,57400000,53950000,3450000,6.39481000926784,2021
2021-06-01,57650000,54050000,3600000,6.66049953746531,2021
2021-06-02,57550000,53900000,3650000,6.771799628942486,2021
2021-06-03,57350000,53850000,3500000,6.499535747446611,2021
2021-06-04,57250000,53450000,3800000,7.109448082319925,2021
2021-06-05,57450000,53650000,3800000,7.082945013979497,2021
2021-06-07,57200000,53500000,3700000,6.915887850467289,2021
2021-06-08,57350000,53480000,3870000,7.236350037397157,2021
2021-06-09,57250000,53400000,3850000,7.209737827715355,2021
2021-06-10,57300000,53450000,3850000,7.202993451824134,2021
2021-06-11,57500000,53500000,4000000,7.476635514018691,2021
2021-06-12,57300000,53300000,4000000,7.5046904315197,2021
2021-06-14,57200000,53200000,4000000,7.518796992481203,2021
2021-06-16,57250000,53050000,4200000,7.917059377945335,2021
2021-06-17,56850000,52350000,4500000,8.595988538681947,2021
