"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Số Giây xem","Số Giây xem trung bình","Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo","Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Lượt xem video trong tối thiểu 1 phút","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút"
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/21/2026,0,2,34.155,8.538,0,2,0,0,0,0,0,2,0
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/22/2026,8083,2992,73582.389,10.152,0,2992,153,111,27,15,166,2823,150
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/23/2026,3201,1291,25732.746,7.651,0,1291,39,31,2,6,48,1247,47
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/24/2026,1499,563,18552.733,11.824,0,563,12,10,0,2,27,557,25
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/25/2026,798,307,14960.338,20.08,0,307,6,4,2,0,23,293,22
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/26/2026,544,182,5416.402,11.499,0,182,2,2,0,0,7,176,6
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/27/2026,366,122,1907.54,6.193,0,122,1,1,0,0,4,118,4
892478243402264,,198980770851754,"Chim Cút",,294,"02/22/2026 02:36",,,02/28/2026,206,65,1107.816,6.714,0,65,0,0,0,0,1,63,1
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/03/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/04/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/05/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/08/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/09/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/11/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/13/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/14/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/15/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/17/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/18/2026,0,0,1.513,1.513,0,0,0,0,0,0,0,0,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/19/2026,0,2,103.931,34.643,0,2,0,0,0,0,1,1,1
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/20/2026,0,1,6.843,6.843,0,1,0,0,0,0,0,1,0
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/21/2026,2815,1440,30085.611,11.297,0,1440,95,78,12,5,74,1343,70
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/22/2026,1739,650,14458.458,8.023,0,650,22,16,2,4,33,599,31
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/23/2026,473,139,2867.443,5.369,0,139,3,3,0,0,9,130,9
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/24/2026,331,106,2172.62,7.364,0,106,1,1,0,0,6,100,6
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/25/2026,294,91,1565.572,6.836,0,91,1,1,0,0,3,83,3
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/26/2026,125,38,901.474,7.389,0,38,0,0,0,0,4,37,4
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/27/2026,160,47,1024.967,7.884,0,47,0,0,0,0,4,45,4
809187965538121,,198980770851754,"Chim Cút",,89,"02/21/2026 21:22",,,02/28/2026,110,35,522.143,5.614,0,35,3,3,0,0,2,35,2
848379138035058,,198980770851754,"Chim Cút","Sử dụng AI học kiến thức",1881,"01/15/2026 04:43",,,02/01/2026,16,5,49.479,2.91,0,5,0,0,0,0,0,5,0
848379138035058,,198980770851754,"Chim Cút","Sử dụng AI học kiến thức",1881,"01/15/2026 04:43",,,02/02/2026,10,7,50.209,3.862,0,7,0,0,0,0,0,7,0
848379138035058,,198980770851754,"Chim Cút","Sử dụng AI học kiến thức",1881,"01/15/2026 04:43",,,02/03/2026,5,1,9.356,0.935,0,1,0,0,0,0,0,1,0
